OBJECTID,Site_Name,State,Operational_Status,Reporting_Component,Is_Joint_Base,latitude,longitude
640,Kingsley Field Cantonement Site 1,or,act,airNationalGuard,no,42.1599375,-121.7386875
641,Burlington IAP,vt,act,airNationalGuard,no,44.47575,-73.15074999999999
642,Tulsa IAP,ok,act,airNationalGuard,no,36.21725,-95.87375
643,Boise Air Terminal,id,act,airNationalGuard,no,43.555625,-116.226125
644,EWVRA Shepherd Field,wv,act,airNationalGuard,no,39.4085,-77.98575000000001
645,Jacksonville FL Maint,fl,act,usmcr,no,30.405250000000002,-81.624
646,NAVSUPPACT Annapolis,md,act,usn,no,38.98,-76.4845
647,Naval Research Laboratory – Stennis Space Center,ms,act,usn,no,30.375555555555554,-89.61266666666667
649,Savannah/Hilton Head IAP,ga,act,airNationalGuard,no,32.130624999999995,-81.19312500000001
650,Ramey AF Solar Observatory Research Site,pr,act,usaf,no,18.509500000000003,-67.09925
651,Verona Defense Fuel Support Point,ny,act,usaf,no,43.12650000000001,-75.5905
652,Air Force Plant 44,az,act,usaf,no,32.094500000000004,-110.94024999999999
653,Marine Corps Museum,va,act,usmc,no,38.52075,-77.36525
654,Barnes Map ANG,ma,act,airNationalGuard,no,42.1705,-72.717
655,Air Force Plant 4,tx,act,usaf,no,32.771,-97.45075
656,Air Force Plant 42,ca,act,usaf,no,34.627428571428574,-118.091
657,Rosecrans MAP (139AG),mo,act,airNationalGuard,no,39.766149999999996,-94.89959999999999
658,Kaena Point Space Force Station,hi,act,usaf,no,21.567125,-158.25225
659,Army Futures Command,tx,act,usa,no,30.269,-97.741
660,Army Research Lab – Orlando Simulations and Training Technology Center,fl,act,usa,no,28.586,-81.19749999999999
661,Army Research Office,nc,act,usa,no,35.994,-78.899
662,Barter Island Regional Radar Site,ak,act,usaf,no,70.12957142857144,-143.60828571428573
663,Biometric Technology Center Defense Forensics and Biometrics,wv,act,other,no,39.326499999999996,-80.2615
664,Camp Blaz,gu,act,usn,no,13.56029411764706,144.8600588235294
665,Cold Bay Regional Radar Site,ak,act,usaf,no,55.26225,-162.887
666,Indian Mountain Regional Radar Site,ak,act,usaf,no,66.03066666666668,-153.72275
667,Joint Base Anacostia-Bolling,dc,act,usaf,yes,38.8495,-77.012
668,Joint Base Elmendorf-Richardson,ak,act,usaf,yes,61.275619047619045,-149.64697619047618
670,Joint Base Lewis-McChord,wa,act,usa,yes,46.92401680672269,-121.74931092436971
671,Joint Base McGuire-Dix-Lakehurst,nj,act,usaf,yes,40.00552941176471,-74.52201960784313
672,Joint Base Pearl Harbor-Hickam,hi,act,usn,yes,21.362520599250935,-158.00522097378277
673,Joint Expeditionary Base Little Creek-Fort Story - Wallops Island,va,act,usn,yes,37.89573333333333,-75.47206666666668
674,Kenai Regional Radar Site,ak,act,usaf,no,60.56,-151.2555
675,Kotzebue Regional Radar Site,ak,act,usaf,no,66.846,-162.599
676,Lisburne Regional Radar Site,ak,act,usaf,no,68.869,-166.108
678,Naval Logistics Support Facility Aguada,pr,act,usn,no,18.399749999999997,-67.178125
679,Naval Logistics Support Facility Cutler,me,act,usn,no,44.678062499999996,-67.29325
680,Romanzof Regional Radar Site,ak,act,usaf,no,61.78057142857143,-165.99128571428568
681,Sparrevohn RRS,ak,act,usaf,no,61.10916666666666,-155.5835
682,Tatalina Regional Radar Site,ak,act,usaf,no,62.89907692307692,-155.89384615384614
683,Utah Test and Training Range,nv,act,usaf,no,40.79528125,-113.55643749999999
685,Aberdeen Proving Ground,md,act,usa,no,39.41753846153846,-76.21146153846153
686,Altus Air Force Base,ok,act,usaf,no,34.6695,-99.2765
687,Naval Suffolk Facility,va,act,usn,no,36.883250000000004,-76.4225
688,Goodfellow Air Force Base,tx,act,usaf,no,31.432058823529413,-100.4014705882353
689,Joint Base Cape Cod,ma,act,armyNationalGuard,yes,41.68747058823529,-70.537
690,Beale Air Force Base,ca,act,usaf,no,39.1355,-121.40899999999999
691,Buckley Space Force Base,co,act,usaf,no,39.7095,-104.76566666666668
692,Cape Canaveral Space Force Station,fl,act,usaf,no,28.50715789473684,-80.58678947368422
693,Cape Newenham Long Range Radar Site,ak,act,usaf,no,58.644499999999994,-162.064
694,Creech Air Force Base,nv,act,usaf,no,36.59204545454545,-115.68722727272726
695,Edwards Air Force Base,ca,act,usaf,no,34.926315789473676,-117.84215789473686
696,Yukon Weapons Range,ak,act,usaf,no,64.7633,-146.8873
697,Eielson Air Force Base,ak,act,usaf,no,64.6815,-147.058
699,Fort Drum,ny,act,usa,no,44.100199999999994,-75.64268
700,Shaw Air Force Base,sc,act,usaf,no,33.97023076923077,-80.47984615384614
701,Luke AFB,az,act,usaf,no,33.5868,-112.40405000000001
702,Marine Corps Base Camp Lejeune,nc,act,usmc,no,34.61944642857143,-77.33360714285713
703,Naval Air Station Whidbey Island,wa,act,usn,no,48.33449999999999,-122.63949999999997
704,Naval Base Kitsap - Keyport,wa,act,usn,no,47.69949999999999,-122.61975000000001
705,Nellis Air Force Base,nv,act,usaf,no,36.27140740740741,-115.00892592592592
706,Nevada Test and Training Range,nv,act,usaf,no,37.25645833333333,-116.27858333333332
707,Naval Logistics Support Activity LaMoure,nd,act,usn,no,46.36425,-98.33975
708,Patrick Space Force Base,fl,act,usaf,no,28.241500000000002,-80.60475
709,Picatinny Arsenal,nj,act,usa,no,40.95666666666667,-74.53699999999999
710,Rock Island Arsenal,il,act,usa,no,41.515,-90.536
711,Tin City Long Range Radar Site,ak,act,usaf,no,65.5684,-167.95186666666666
712,Travis Air Force Base,ca,act,usaf,no,38.272,-121.93477777777778
713,Travis System Annex No 2,ca,act,usaf,no,38.324250000000006,-121.9245
714,Badger AAP,wi,excs,usa,no,43.35845833333334,-89.74016666666667
715,Fort Gillem Enclave Site,ga,act,usa,no,33.61579999999999,-84.34219999999999
716,Fort Monmouth Main Post,nj,clsd,usa,no,40.30840909090909,-74.0701590909091
717,Hickam Petrol Strg Ann,hi,act,usn,no,21.45575,-158.03375
718,Homestead ARB,fl,act,afr,no,25.499761904761904,-80.39328571428571
719,Jim Creek,wa,act,usn,no,48.193714285714286,-121.92157142857143
720,Joliet AAP Elwood,il,excs,usa,no,41.35781250000001,-88.06575000000001
721,Kamokala Ridge,hi,act,usn,no,22.0385,-159.7535
722,NARL Barrow Camp Tr1,ak,act,usn,no,71.32677777777778,-156.6451111111111
723,NAS Whiting Field Milton FL,fl,act,usn,no,30.716333333333335,-87.01783333333333
724,NAVSUPPACT Mechanicsburg PA,pa,act,usn,no,40.22825,-76.98875000000001
