OBJECTID,Site_Name,State,latitude,longitude,elevation,Is_Joint_Base,Operational_Status,Reporting_Component,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m,current_time,timezone,Cluster
143,NG Kalaeloa,hi,21.29626,-158.10623,1.0,no,act,armyNationalGuard,75.2,74,76.6,0,0.0,0.0,0.0,0.0,3,97,1020.3,1020.2,11.4,79,18.1,2026-02-10T06:45,Pacific/Honolulu,0
151,NG Las Cruces,nm,32.31232,-106.77834,1191.0,no,act,armyNationalGuard,59.6,56,56.5,1,0.0,0.0,0.0,0.0,3,100,1015.1,883.0,3.7,218,4.7,2026-02-10T09:45,America/Denver,10
152,NG Lawrenceville,nj,40.29733,-74.7296,37.0,no,act,armyNationalGuard,30.6,57,24.7,1,0.0,0.0,0.0,0.0,2,79,1019.2,1014.0,2.0,174,4.3,2026-02-10T11:45,America/New_York,2
182,Camp Williams,ut,40.43328,-111.93688,1515.0,no,act,armyNationalGuard,37.4,47,30.7,1,0.0,0.0,0.0,0.0,3,100,1019.8,848.1,3.0,144,5.8,2026-02-10T09:45,America/Denver,4
184,Camp Roberts,ca,39.17838,-86.1936,192.0,no,act,armyNationalGuard,60.1,71,55.2,1,0.0,0.0,0.0,0.0,0,19,1011.5,987.3,12.1,230,28.9,2026-02-10T11:45,America/Indiana/Indianapolis,5
186,NG Nashville,tn,36.16589,-86.78444,170.0,no,act,armyNationalGuard,71.2,62,69.0,1,0.0,0.0,0.0,0.0,3,89,1015.9,997.5,11.7,216,23.9,2026-02-10T10:45,America/Chicago,0
195,Fort Irwin,ca,35.26275,-116.68475,758.0,no,act,usa,55.1,52,50.6,1,0.0,0.0,0.0,0.0,3,100,1011.4,924.5,3.9,294,3.8,2026-02-10T08:45,America/Los_Angeles,10
201,NG Williamstown,wv,39.40063,-81.44818,193.0,no,act,armyNationalGuard,46.1,69,40.0,1,0.0,0.0,0.0,0.0,0,7,1013.3,989.7,8.1,174,14.3,2026-02-10T11:45,America/New_York,5
206,Presidio of Monterey,ca,36.6068,-121.89719,28.0,no,act,usa,54.3,80,52.3,1,0.0,0.0,0.0,0.0,3,100,1008.8,1005.4,3.6,11,5.4,2026-02-10T08:45,America/Los_Angeles,1
211,NG Raleigh,nc,35.7721,-78.63861,96.0,no,act,armyNationalGuard,53.0,59,49.7,1,0.0,0.0,0.0,0.0,1,31,1018.3,1006.2,4.2,252,13.2,2026-02-10T11:45,America/New_York,9
