OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
355,The Farish Memorial Recreational Annex,co,38.997625,-104.999375,act,usaf,no,America/Denver,2026-02-10T10:30,29.7,62.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1021.4,724.6,8.0,153.0,18.3
356,Eglin Air Force Auxiliary Field 6,fl,30.6358,-86.742,act,usaf,no,America/Chicago,2026-02-10T11:30,68.7,71.0,69.4,1.0,0.0,0.0,0.0,0.0,2.0,55.0,1022.3,1017.7,5.4,232.0,11.6
357,Oliktok Long Range Radar Site,ak,70.49925,-149.877,act,usaf,no,America/Anchorage,2026-02-10T08:30,-38.7,75.0,-48.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0,1021.7,1021.6,4.3,183.0,6.3
358,Birch Lake Recreation Annex,ak,64.318,-146.64525,act,usaf,no,America/Anchorage,2026-02-10T08:30,-23.0,65.0,-32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.3,972.5,5.4,107.0,10.7
359,Holloman Air Force Base,nm,32.89733333333333,-106.1179696969697,act,usaf,no,America/Denver,2026-02-10T10:30,62.6,51.0,59.6,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1015.7,879.2,5.3,213.0,5.6
360,King Salmon Long Range Radar Site,ak,58.68308333333332,-156.63710416666666,act,usaf,no,America/Anchorage,2026-02-10T08:30,31.1,98.0,21.4,0.0,0.035,0.0,0.0,0.248,73.0,100.0,983.7,981.0,13.3,130.0,19.5
361,The Barry M Goldwater Air Force Range,az,32.649666666666675,-112.8934074074074,act,usaf,no,America/Phoenix,2026-02-10T10:30,75.1,20.0,64.9,1.0,0.0,0.0,0.0,0.0,0.0,17.0,1013.7,977.1,15.0,189.0,22.1
362,Los Angeles Air Force Base,ca,33.988125,-118.415,act,usaf,no,America/Los_Angeles,2026-02-10T09:30,64.1,72.0,61.6,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1013.8,1012.7,9.7,138.0,14.3
363,Niagara Falls,ny,43.11125,-78.936625,act,afr,no,America/New_York,2026-02-10T12:30,38.2,61.0,30.8,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1007.4,985.5,6.4,205.0,17.9
364,MacDill Air Force Base,fl,27.8569,-82.50559999999999,act,usaf,no,America/New_York,2026-02-10T12:30,73.1,42.0,73.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.8,1023.6,5.2,205.0,6.7
365,Haarp Research Station,ak,62.40200000000001,-145.14600000000002,act,usaf,no,America/Anchorage,2026-02-10T08:30,-6.2,80.0,-14.4,0.0,0.0,0.0,0.0,0.0,3.0,92.0,1006.0,930.8,2.5,45.0,5.4
366,Vandenberg Space Force Base,ca,34.70694594594595,-120.54121621621624,act,usaf,no,America/Los_Angeles,2026-02-10T09:30,57.9,88.0,56.8,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1011.9,997.6,5.8,167.0,16.6
367,Columbus Air Force Base,ms,33.38909090909091,-88.50127272727273,act,usaf,no,America/Chicago,2026-02-10T11:30,64.5,86.0,63.3,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1019.4,1013.1,11.1,222.0,19.0
368,Fort Yukon Long Range Radar Site,ak,66.56075,-145.2035,act,usaf,no,America/Anchorage,2026-02-10T08:30,-54.2,67.0,-63.3,0.0,0.0,0.0,0.0,0.0,1.0,35.0,1020.2,998.8,3.6,94.0,6.5
369,Los Angeles Space Force Annex No4,ca,33.85875,-118.236,act,usaf,no,America/Los_Angeles,2026-02-10T09:30,62.7,75.0,60.5,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1014.0,1007.2,8.6,152.0,12.1
370,Bellows,hi,21.3625,-157.71025,act,usaf,no,Pacific/Honolulu,2026-02-10T07:30,72.7,83.0,72.5,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1021.0,1020.8,16.0,65.0,41.2
371,Point Barrow Long Range Radar Site,ak,71.328,-156.63175,act,usaf,no,America/Anchorage,2026-02-10T08:30,-30.8,73.0,-39.9,0.0,0.0,0.0,0.0,0.0,3.0,87.0,1020.7,1020.6,3.8,177.0,5.4
372,Norwalk 2,ca,33.892,-118.07,act,afr,no,America/Los_Angeles,2026-02-10T09:30,63.1,78.0,62.5,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1014.1,1011.4,6.1,152.0,8.7
374,Kegelman Air Force Auxiliary Field,ok,36.73616666666667,-98.1225,act,usaf,no,America/Chicago,2026-02-10T11:30,50.9,39.0,37.5,1.0,0.0,0.0,0.0,0.0,3.0,98.0,1017.6,974.2,21.5,12.0,30.6
376,Air Force Maui Optical and Supercomputing Site,hi,20.74775,-156.4355,act,usaf,no,Pacific/Honolulu,2026-02-10T07:30,71.3,79.0,74.0,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1020.1,1012.0,6.1,10.0,15.7
377,Marine Corps Logistics Base Albany,ga,31.551,-84.0606,act,usmc,no,America/New_York,2026-02-10T12:30,63.5,83.0,63.0,1.0,0.0,0.0,0.0,0.0,2.0,69.0,1022.8,1014.3,7.6,246.0,15.4
381,Marine Corps Air Station Beaufort,sc,32.467126436781605,-80.72111494252874,act,usmc,no,America/New_York,2026-02-10T12:30,68.1,59.0,67.5,1.0,0.0,0.0,0.0,0.0,1.0,26.0,1021.3,1020.7,8.0,240.0,15.2
383,Bridgeport,ca,38.35551428571429,-119.52719999999998,act,usmc,no,America/Los_Angeles,2026-02-10T09:30,31.0,73.0,25.1,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1012.1,783.4,2.2,6.0,3.6
384,Marine Corps Air Station Cherry Point,nc,34.914857142857144,-76.7330238095238,act,usmc,no,America/New_York,2026-02-10T12:30,62.5,53.0,59.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1019.4,1019.3,7.8,229.0,16.1
390,Marine Corps Air Station New River,nc,34.67638775510204,-77.4438775510204,act,usmc,no,America/New_York,2026-02-10T12:30,62.0,55.0,59.1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1019.3,1016.8,7.6,227.0,15.2
393,Syracuse MCRC,ny,43.09925,-76.12275,act,usmcr,no,America/New_York,2026-02-10T12:30,28.3,83.0,20.1,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1012.8,996.4,7.6,88.0,14.1
398,Marine Corps Air Ground Combat Center Twentynine Palms,ca,34.466526315789466,-116.2518947368421,act,usmc,no,America/Los_Angeles,2026-02-10T09:30,61.1,37.0,53.6,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1011.3,913.4,9.6,147.0,16.1
399,Marine Corps Air Station Yuma,az,32.66077777777778,-114.59055555555555,act,usmc,no,America/Phoenix,2026-02-10T10:30,72.0,25.0,64.2,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1012.9,1005.4,10.4,173.0,17.7
400,Barry Goldwater Range,az,32.611105263157896,-113.95836842105264,act,usmc,no,America/Phoenix,2026-02-10T10:30,70.5,25.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1013.2,992.9,6.8,146.0,16.1
402,Elizabeth Rvr Channel,va,36.8675,-76.333,act,usn,no,America/New_York,2026-02-10T12:30,51.9,52.0,46.6,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1018.3,1018.3,7.4,201.0,11.9
403,CSO Barbers Point HI,hi,21.318107142857144,-158.0540357142857,care,usn,no,Pacific/Honolulu,2026-02-10T07:30,73.6,79.0,73.4,1.0,0.0,0.0,0.0,0.0,3.0,99.0,1020.7,1019.9,15.6,66.0,32.0
404,Makaha Ridge,hi,22.13075,-159.72475,act,usn,no,Pacific/Honolulu,2026-02-10T07:30,74.6,83.0,80.3,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1021.4,963.9,4.2,36.0,9.2
405,Pacific Missile Range Facility,hi,22.0375,-159.77689999999998,act,usn,no,Pacific/Honolulu,2026-02-10T07:30,77.3,75.0,78.1,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1021.2,1020.6,15.5,87.0,20.8
406,NNSY St Helena,va,36.826,-76.289,act,usn,no,America/New_York,2026-02-10T12:30,52.4,49.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1018.3,1018.3,7.1,200.0,11.9
407,St Juliens Creek East,va,36.790000000000006,-76.30950000000001,act,usn,no,America/New_York,2026-02-10T12:30,52.3,50.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1018.3,1018.2,7.1,198.0,11.9
408,NAVSUPPACT Norfolk NSY,va,36.81975,-76.298,act,usn,no,America/New_York,2026-02-10T12:30,52.4,49.0,46.9,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1018.3,1017.8,7.1,200.0,11.9
409,Naval Station Great Lakes IL,il,42.312,-87.839,act,usn,no,America/Chicago,2026-02-10T11:30,45.9,63.0,37.0,1.0,0.0,0.0,0.0,0.0,2.0,70.0,1011.9,987.9,12.7,316.0,22.8
410,Naval Submarine Base New London,ct,41.40325,-72.08212499999999,act,usn,no,America/New_York,2026-02-10T12:30,32.6,52.0,25.3,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1018.2,1013.3,5.4,222.0,10.1
411,Allegany Ballistics Lab,wv,39.5485,-78.84875,act,usn,no,America/New_York,2026-02-10T12:30,45.8,63.0,40.6,1.0,0.0,0.0,0.0,0.0,2.0,53.0,1013.3,981.5,5.5,159.0,12.1
412,Naval Station Newport,ri,41.53125,-71.31325000000001,act,usn,no,America/New_York,2026-02-10T12:30,32.8,46.0,25.4,1.0,0.0,0.0,0.0,0.0,2.0,54.0,1018.3,1017.7,5.1,225.0,11.4
413,Naval Air Station Oceana Dam Neck Annex,va,36.78566666666667,-75.96744444444444,act,usn,no,America/New_York,2026-02-10T12:30,51.0,51.0,45.4,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1018.6,1017.9,7.4,177.0,11.0
414,Gould Island RI,ri,41.537,-71.34525000000001,act,usn,no,America/New_York,2026-02-10T12:30,32.8,46.0,25.4,1.0,0.0,0.0,0.0,0.0,2.0,54.0,1018.3,1018.3,5.1,225.0,11.4
415,NWIRP Bedford MA,ma,42.477,-71.289,clsd,usn,no,America/New_York,2026-02-10T12:30,31.6,56.0,25.1,1.0,0.0,0.0,0.0,0.0,2.0,55.0,1017.7,1010.2,3.5,225.0,6.5
416,Northwest Chesapeake VA,va,36.561,-76.26559999999999,act,usn,no,America/New_York,2026-02-10T12:30,53.1,50.0,48.6,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1018.5,1017.2,5.9,205.0,11.2
417,Cheatham Annex,va,37.28425,-76.626,act,usn,no,America/New_York,2026-02-10T12:30,49.6,41.0,43.2,1.0,0.0,0.0,0.0,0.0,2.0,51.0,1017.9,1013.0,7.0,202.0,10.5
418,NNSY South Gate,va,36.80475,-76.29575,act,usn,no,America/New_York,2026-02-10T12:30,52.3,50.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1018.3,1018.2,7.1,198.0,11.9
419,Portsmouth Naval Shipyard,me,42.996750000000006,-71.07537500000001,act,usn,no,America/New_York,2026-02-10T12:30,28.2,39.0,21.6,1.0,0.0,0.0,0.0,0.0,1.0,48.0,1017.5,1006.3,1.5,117.0,3.8
