OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m,daily_temperature_2m_max_7day_avg,daily_temperature_2m_min_7day_avg,daily_temperature_2m_mean_7day_avg,daily_apparent_temperature_max_7day_avg,daily_apparent_temperature_min_7day_avg,daily_precipitation_sum_7day_avg,daily_rain_sum_7day_avg,daily_snowfall_sum_7day_avg,daily_wind_speed_10m_max_7day_avg,daily_wind_gusts_10m_max_7day_avg,daily_sunshine_duration_7day_avg,daily_uv_index_max_7day_avg,daily_shortwave_radiation_sum_7day_avg,daily_precipitation_hours_7day_avg,daily_et0_fao_evapotranspiration_7day_avg,Cluster
245,Stinson 5AB Stagefield AL,al,31.359250000000003,-86.0135,act,usa,no,America/Chicago,2026-02-10T11:30,65.7,79.0,64.7,1.0,0.0,0.0,0.0,0.0,3.0,98.0,1022.2,1009.5,9.5,227.0,14.1,68.45714285714286,52.31428571428571,59.75714285714286,66.24285714285715,48.471428571428575,0.055285714285714285,0.03957142857142858,0.0,10.214285714285714,23.25714285714286,26634.92285714286,4.464285714285714,11.905714285714286,2.0,0.08971428571428572,0
247,Tac X Stagefield AL,al,31.12175,-85.97875,act,usa,no,America/Chicago,2026-02-10T11:30,65.8,82.0,66.5,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1022.3,1017.5,6.5,218.0,11.6,70.21428571428571,53.771428571428565,60.91428571428571,68.34285714285714,50.25714285714286,0.06757142857142857,0.054,0.0,11.1,23.714285714285715,27829.584285714285,4.585714285714286,12.52,2.2857142857142856,0.09671428571428572,0
248,Tobyhanna Army Depot,pa,41.196666666666665,-75.42666666666666,act,usa,no,America/New_York,2026-02-10T12:30,30.5,72.0,22.7,1.0,0.0,0.0,0.0,0.0,3.0,90.0,1014.4,939.7,6.6,192.0,17.2,30.728571428571428,13.62857142857143,22.3,22.685714285714287,3.557142857142857,0.0041428571428571434,0.003,0.0,13.514285714285714,29.271428571428572,27349.928571428572,3.4785714285714286,11.724285714285715,1.0,0.03328571428571429,1
250,Toth Stagefield AL,al,31.23,-85.55924999999999,act,usa,no,America/Chicago,2026-02-10T11:30,66.9,76.0,66.0,1.0,0.0,0.0,0.0,0.0,3.0,97.0,1022.3,1010.7,9.1,232.0,13.9,69.35714285714286,51.91428571428571,59.771428571428565,66.72857142857143,47.92857142857143,0.08714285714285715,0.07542857142857143,0.0,11.37142857142857,21.842857142857145,28126.255714285715,4.671428571428572,13.105714285714285,1.8571428571428572,0.09714285714285716,0
251,Tripler Army Medical Center,hi,21.360416666666666,-157.887,act,usa,no,Pacific/Honolulu,2026-02-10T07:30,73.4,79.0,73.0,1.0,0.0,0.0,0.0,0.0,3.0,99.0,1020.7,1004.8,15.6,66.0,32.0,77.94285714285715,72.41428571428571,74.47142857142856,77.5,72.72857142857143,0.0017142857142857144,0.0,0.0,15.742857142857144,32.81428571428571,26187.608571428573,4.55,14.544285714285715,0.42857142857142855,0.14942857142857144,0
252,NG Los Alamitos JFTB,ca,33.7918,-118.052,act,armyNationalGuard,no,America/Los_Angeles,2026-02-10T09:30,62.2,76.0,61.1,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1014.1,1013.3,5.9,171.0,9.4,65.37142857142858,55.800000000000004,60.614285714285714,61.74285714285714,52.41428571428571,0.12914285714285717,0.10042857142857144,0.0,13.214285714285714,20.042857142857144,21380.465714285714,3.85,10.955714285714285,5.0,0.09414285714285715,0
254,NG TS Camp Johnson,vt,44.501000000000005,-73.16625,act,armyNationalGuard,no,America/New_York,2026-02-10T12:30,23.4,62.0,14.9,1.0,0.0,0.0,0.0,0.0,3.0,99.0,1016.6,1004.3,5.9,171.0,12.3,27.642857142857142,6.128571428571428,18.642857142857142,19.614285714285717,-2.1857142857142855,0.039,0.013,0.18314285714285714,10.957142857142857,20.32857142857143,27034.24428571429,3.5285714285714285,10.404285714285715,3.0,0.026285714285714284,1
255,NG TS Mark Twain Natl Forest Wapp,mo,36.89483333333334,-90.28666666666668,act,armyNationalGuard,no,America/Chicago,2026-02-10T11:30,63.0,85.0,61.0,1.0,0.0,0.0,0.0,0.0,1.0,29.0,1012.6,995.6,11.5,212.0,27.5,56.857142857142854,39.72857142857142,47.41428571428571,51.957142857142856,33.51428571428571,0.06371428571428571,0.06371428571428571,0.0,10.757142857142856,25.714285714285715,23050.350000000002,3.1785714285714284,9.232857142857142,2.5714285714285716,0.06314285714285714,0
258,NG TS Keaukaha Mil Res,hi,19.709625000000003,-155.042375,act,armyNationalGuard,no,Pacific/Honolulu,2026-02-10T07:30,61.2,86.0,61.3,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1024.1,1022.0,5.2,290.0,10.7,65.55714285714285,60.300000000000004,62.74285714285715,67.87142857142858,61.385714285714286,0.13271428571428573,0.050571428571428566,0.0,5.057142857142857,11.714285714285714,5067.101428571428,4.571428571428571,6.371428571428572,8.571428571428571,0.04642857142857143,0
259,Joint Systems Manufacturing Center - Lima,oh,40.699250000000006,-84.138,act,usa,no,America/New_York,2026-02-10T12:30,48.8,73.0,40.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1008.7,977.0,14.7,208.0,25.1,41.285714285714285,25.599999999999998,32.51428571428572,35.028571428571425,18.1,0.0,0.0,0.0,9.7,16.4,29893.942857142858,3.8785714285714286,12.114285714285714,0.0,0.047714285714285716,1
